Year,StateAbbr,StateDesc,CityName,GeographicLevel,Category,UniqueID,Measure,Data_Value,GeoLocation,MeasureId,TractFIPS,Lat,Lng
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48491020406,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,26.9,"(30.4425183084, -97.7770834724)",HIGHCHOL,48491020406,30.4425183084, -97.7770834724
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001749,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,26.1,"(30.2303531901, -97.8443716395)",HIGHCHOL,48453001749,30.2303531901, -97.8443716395
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001000,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,33.0,"(30.2530553216, -97.7257084725)",HIGHCHOL,48453001000,30.2530553216, -97.7257084725
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001817,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,31.4,"(30.3666407346, -97.7346650749)",HIGHCHOL,48453001817,30.3666407346, -97.7346650749
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002426,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,24.9,"(30.1548242628, -97.7520686441)",HIGHCHOL,48453002426,30.1548242628, -97.7520686441
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001714,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,28.7,"(30.4232100942, -97.8280150091)",HIGHCHOL,48453001714,30.4232100942, -97.8280150091
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002317,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,14.9,"(30.2420862653, -97.7059303935)",HIGHCHOL,48453002317,30.2420862653, -97.7059303935
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001846,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,33.0,"(30.4360239746, -97.7137664933)",HIGHCHOL,48453001846,30.4360239746, -97.7137664933
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001839,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,25.4,"(30.4047333982, -97.6589226842)",HIGHCHOL,48453001839,30.4047333982, -97.6589226842
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002316,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,24.0,"(30.2354321878, -97.7280426107)",HIGHCHOL,48453002316,30.2354321878, -97.7280426107
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001401,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,23.9,"(30.2500756585, -97.7460413706)",HIGHCHOL,48453001401,30.2500756585, -97.7460413706
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001745,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,34.1,"(30.4243915281, -97.7380184815)",HIGHCHOL,48453001745,30.4243915281, -97.7380184815
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001914,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,30.3,"(30.2536853912, -97.8331354066)",HIGHCHOL,48453001914,30.2536853912, -97.8331354066
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001806,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,28.5,"(30.3535089077, -97.6977872408)",HIGHCHOL,48453001806,30.3535089077, -97.6977872408
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002431,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,28.6,"(30.1945771194, -97.7185046504)",HIGHCHOL,48453002431,30.1945771194, -97.7185046504
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001915,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,33.2,"(30.2407457634, -97.83861472)",HIGHCHOL,48453001915,30.2407457634, -97.83861472
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000101,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,30.2,"(30.3231638088, -97.7532685324)",HIGHCHOL,48453000101,30.3231638088, -97.7532685324
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000700,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,26.6,"(30.2776999882, -97.7411176287)",HIGHCHOL,48453000700,30.2776999882, -97.7411176287
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000603,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,11.9,"(30.2919924148, -97.7462695279)",HIGHCHOL,48453000603,30.2919924148, -97.7462695279
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002201,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,33.7,"(30.3159610657, -97.6544814328)",HIGHCHOL,48453002201,30.3159610657, -97.6544814328
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001786,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,22.3,"(30.4336936631, -97.7486832428)",HIGHCHOL,48453001786,30.4336936631, -97.7486832428
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002403,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,31.3,"(30.2122146849, -97.7622830864)",HIGHCHOL,48453002403,30.2122146849, -97.7622830864
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001850,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,21.1,"(30.4119050232, -97.7017857374)",HIGHCHOL,48453001850,30.4119050232, -97.7017857374
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002312,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,30.4,"(30.2261210929, -97.6946650587)",HIGHCHOL,48453002312,30.2261210929, -97.6946650587
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001757,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,33.8,"(30.3978196994, -97.7639427818)",HIGHCHOL,48453001757,30.3978196994, -97.7639427818
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001910,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,33.5,"(30.2699849071, -97.7981662119)",HIGHCHOL,48453001910,30.2699849071, -97.7981662119
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002003,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,29.9,"(30.2190129023, -97.7747282501)",HIGHCHOL,48453002003,30.2190129023, -97.7747282501
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48491020311,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,23.1,"(30.4852741813, -97.7919722841)",HIGHCHOL,48491020311,30.4852741813, -97.7919722841
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002107,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,32.9,"(30.2956745244, -97.6828566374)",HIGHCHOL,48453002107,30.2956745244, -97.6828566374
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001826,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,27.8,"(30.4022432917, -97.6830258333)",HIGHCHOL,48453001826,30.4022432917, -97.6830258333
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002211,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,25.4,"(30.2775754938, -97.6282935126)",HIGHCHOL,48453002211,30.2775754938, -97.6282935126
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001738,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,32.4,"(30.2186732803, -97.859799421)",HIGHCHOL,48453001738,30.2186732803, -97.859799421
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001712,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,34.6,"(30.2238522538, -97.7971960496)",HIGHCHOL,48453001712,30.2238522538, -97.7971960496
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001603,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,30.4,"(30.2984241639, -97.7564451619)",HIGHCHOL,48453001603,30.2984241639, -97.7564451619
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001772,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,24.8,"(30.1510668591, -97.8353659518)",HIGHCHOL,48453001772,30.1510668591, -97.8353659518
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001719,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,35.9,"(30.3496481393, -97.7809337795)",HIGHCHOL,48453001719,30.3496481393, -97.7809337795
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002413,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,28.0,"(30.1971092749, -97.7402764718)",HIGHCHOL,48453002413,30.1971092749, -97.7402764718
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001602,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,23.0,"(30.2855533127, -97.7759300983)",HIGHCHOL,48453001602,30.2855533127, -97.7759300983
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001781,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,36.8,"(30.4398224796, -97.7964239828)",HIGHCHOL,48453001781,30.4398224796, -97.7964239828
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48491020411,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,32.9,"(30.4621936429, -97.7379195721)",HIGHCHOL,48491020411,30.4621936429, -97.7379195721
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000803,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,24.7,"(30.2768113039, -97.7204656888)",HIGHCHOL,48453000803,30.2768113039, -97.7204656888
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48491020405,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,31.2,"(30.4482556318, -97.7942896451)",HIGHCHOL,48491020405,30.4482556318, -97.7942896451
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000305,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,21.6,"(30.3148722619, -97.7263019673)",HIGHCHOL,48453000305,30.3148722619, -97.7263019673
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001100,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,26.1,"(30.2662950547, -97.7424360537)",HIGHCHOL,48453001100,30.2662950547, -97.7424360537
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002430,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,31.5,"(30.1717082079, -97.7550439193)",HIGHCHOL,48453002430,30.1717082079, -97.7550439193
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000801,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,36.5,"(30.2669542063, -97.7014857394)",HIGHCHOL,48453000801,30.2669542063, -97.7014857394
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002202,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,29.2,"(30.3081938914, -97.6364300736)",HIGHCHOL,48453002202,30.3081938914, -97.6364300736
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001776,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,29.5,"(30.211852731, -97.8404475868)",HIGHCHOL,48453001776,30.211852731, -97.8404475868
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001774,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,26.9,"(30.1553955337, -97.8471187274)",HIGHCHOL,48453001774,30.1553955337, -97.8471187274
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002105,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,27.5,"(30.314917851, -97.705591437)",HIGHCHOL,48453002105,30.314917851, -97.705591437
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001818,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,32.0,"(30.3602092627, -97.7222085004)",HIGHCHOL,48453001818,30.3602092627, -97.7222085004
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000304,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,20.4,"(30.3093759729, -97.7169057003)",HIGHCHOL,48453000304,30.3093759729, -97.7169057003
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001833,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,32.7,"(30.3640068193, -97.6764901387)",HIGHCHOL,48453001833,30.3640068193, -97.6764901387
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001847,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,27.3,"(30.4283193463, -97.6904273075)",HIGHCHOL,48453001847,30.4283193463, -97.6904273075
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002427,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,29.9,"(30.1812180458, -97.7613921528)",HIGHCHOL,48453002427,30.1812180458, -97.7613921528
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001305,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,25.7,"(30.2518891368, -97.755535235)",HIGHCHOL,48453001305,30.2518891368, -97.755535235
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001716,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,30.4,"(30.3892678952, -97.8029503466)",HIGHCHOL,48453001716,30.3892678952, -97.8029503466
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001705,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,34.6,"(30.369711599, -97.7740377256)",HIGHCHOL,48453001705,30.369711599, -97.7740377256
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000402,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,27.3,"(30.2841414645, -97.7155188107)",HIGHCHOL,48453000402,30.2841414645, -97.7155188107
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001750,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,24.6,"(30.2198633299, -97.8221972985)",HIGHCHOL,48453001750,30.2198633299, -97.8221972985
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48491020408,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,27.3,"(30.4608132047, -97.7871146865)",HIGHCHOL,48491020408,30.4608132047, -97.7871146865
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001913,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,33.1,"(30.3164410718, -97.8027771068)",HIGHCHOL,48453001913,30.3164410718, -97.8027771068
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002112,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,30.6,"(30.3139333247, -97.682596712)",HIGHCHOL,48453002112,30.3139333247, -97.682596712
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001811,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,30.0,"(30.3261510878, -97.6850226617)",HIGHCHOL,48453001811,30.3261510878, -97.6850226617
2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002432,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,34.9,"(30.1808372579, -97.7014760529)",HIGHCHOL,48453002432,30.1808372579, -97.7014760529
