,Year_bp,StateAbbr_bp,StateDesc_bp,CityName_bp,GeographicLevel_bp,Category_bp,UniqueID_bp,Measure_bp,PopulationCount_bp,GeoLocation_bp,MeasureId_bp,Census Tract,Lat_bp,Lng_bp,Year_chol,StateAbbr_chol,StateDesc_chol,CityName_chol,GeographicLevel_chol,Category_chol,UniqueID_chol,Measure_chol,PopulationCount_chol,GeoLocation_chol,MeasureId_chol,Lat_chol,Lng_chol,Year_dbt,StateAbbr_dbt,StateDesc_dbt,CityName_dbt,GeographicLevel_dbt,Category_dbt,UniqueID_dbt,Measure_dbt,PopulationCount_dbt,GeoLocation_dbt,MeasureId_dbt,Lat_dbt,Lng_dbt,Year_obs,StateAbbr_obs,StateDesc_obs,CityName_obs,GeographicLevel_obs,Category_obs,UniqueID_obs,Measure_obs,PopulationCount_obs,GeoLocation_obs,MeasureId_obs,Lat_obs,Lng_obs,Total 18+ Population,Total 18+ Male Population,Total Male 18 to 24 years,Total Male 18 to 24 years Less than 9th grade,"Total Male 18 to 24 years 9th to 12th grade, no diploma",Total Male 18 to 24 years High school graduate,"Total Male 18 to 24 years Some college, no degree",Total Male 18 to 24 years Associate's degree,Total Male 18 to 24 years Bachelor's degree,Total Male 18 to 24 years Graduate or professional degree,Total Male 25 to 34 years,Total Male 25 to 34 years Less than 9th grade,"Total Male 25 to 34 years 9th to 12th grade, no diploma",Total Male 25 to 34 years High school graduate,"Total Male 25 to 34 years Some college, no degree",Total Male 25 to 34 years Associate's degree,Total Male 25 to 34 years Bachelor's degree,Total Male 25 to 34 years Graduate or professional degree,Total Male 35 to 44 years,Total Male 35 to 44 years Less than 9th grade,"Total Male 35 to 44 years 9th to 12th grade, no diploma",Total Male 35 to 44 years High school graduate,"Total Male 35 to 44 years Some college, no degree",Total Male 35 to 44 years Associate's degree,Total Male 35 to 44 years Bachelor's degree,Total Male 35 to 44 years Graduate or professional degree,Total Male 45 to 64 years,Total Male 45 to 64 years Less than 9th grade,"Total Male 45 to 64 years 9th to 12th grade, no diploma",Total Male 45 to 64 years High school graduate,"Total Male 45 to 64 years Some college, no degree",Total Male 45 to 64 years Associate's degree,Total Male 45 to 64 years Bachelor's degree,Total Male 45 to 64 years Graduate or professional degree,Total Male 65 years and over,Total Male 65 years and over Less than 9th grade,"Total Male 65 years and over 9th to 12th grade, no diploma",Total Male 65 years and over High school graduate,"Total Male 65 years and over Some college, no degree",Total Male 65 years and over Associate's degree,Total Male 65 years and over Bachelor's degree,Total Male 65 years and over Graduate or professional degree,Total 18+ Female Population,Total Female 18 to 24 years,Total Female 18 to 24 years Less than 9th grade,"Total Female 18 to 24 years 9th to 12th grade, no diploma",Total Female 18 to 24 years High school graduate,"Total Female 18 to 24 years Some college, no degree",Total Female 18 to 24 years Associate's degree,Total Female 18 to 24 years Bachelor's degree,Total Female 18 to 24 years Graduate or professional degree,Total Female 25 to 34 years,Total Female 25 to 34 years Less than 9th grade,"Total Female 25 to 34 years 9th to 12th grade, no diploma",Total Female 25 to 34 years High school graduate,"Total Female 25 to 34 years Some college, no degree",Total Female 25 to 34 years Associate's degree,Total Female 25 to 34 years Bachelor's degree,Total Female 25 to 34 years Graduate or professional degree,Total Female 35 to 44 years,Total Female 35 to 44 years Less than 9th grade,"Total Female 35 to 44 years 9th to 12th grade, no diploma",Total Female 35 to 44 years High school graduate,"Total Female 35 to 44 years Some college, no degree",Total Female 35 to 44 years Associate's degree,Total Female 35 to 44 years Bachelor's degree,Total Female 35 to 44 years Graduate or professional degree,Total Female 45 to 64 years,Total Female 45 to 64 years Less than 9th grade,"Total Female 45 to 64 years 9th to 12th grade, no diploma",Total Female 45 to 64 years High school graduate,"Total Female 45 to 64 years Some college, no degree",Total Female 45 to 64 years Associate's degree,Total Female 45 to 64 years Bachelor's degree,Total Female 45 to 64 years Graduate or professional degree,Total Female 65 years and over,Total Female 65 years and over Less than 9th grade,"Total Female 65 years and over 9th to 12th grade, no diploma",Total Female 65 years and over High school graduate,"Total Female 65 years and over Some college, no degree",Total Female 65 years and over Associate's degree,Total Female 65 years and over Bachelor's degree,Total Female 65 years and over Graduate or professional degree,GEO_ID_x,Total Households,"Income < $10,000","Income $10,000-$14,999","Income $15,000-$24,999","Income $25,000-$34,999","Income $35,000-$49,999","Income $50,000-$74,999","Income $75,000-$99,999","Income $100,000-$149,999","Income $150,000-$199,999","Income > $200,000",Median Income (dollars),Mean Income (dollars),GEO_ID_y,Total Population,Total Male,Total Female,White Population,Black or African American Population,American Indian and Alaska Native Population,Asian Population,Native Hawaiian and Other Pacific Islander population,Some Other Race Population,GEO_ID
47,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001751,High blood pressure among adults aged >=18 Years,2065,"(30.3628740707, -97.7577287173)",BPHIGH,48453001751,30.362874070700002,-97.7577287173,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001751,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,2065,"(30.3628740707, -97.7577287173)",HIGHCHOL,30.362874070700002,-97.7577287173,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001751,Diagnosed diabetes among adults aged >=18 Years,"2,065","(30.3628740707, -97.7577287173)",DIABETES,30.362874070700002,-97.7577287173,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453001751,Obesity among adults aged >=18 Years,"2,065","(30.3628740707, -97.7577287173)",OBESITY,30.362874070700002,-97.7577287173,1710,748,42,0,17,16,5,0,4,0,64,0,0,15,0,4,19,26,120,0,0,0,26,0,58,36,238,0,0,0,15,13,100,110,284,0,0,0,23,5,113,143,962,23,0,0,9,0,0,14,0,102,0,0,0,10,4,45,43,147,0,5,0,5,4,71,62,306,0,0,12,7,16,157,114,384,0,6,47,89,4,167,71,1400000,971,1.8,1.3,3.5,3.2,7.7,14.8,15.1,14.8,15.1,22.6,105893,148461,1400000,2164,974,1190,1989,117,0,31,0,46,1400000
48,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001504,High blood pressure among adults aged >=18 Years,3925,"(30.3465471667, -97.7250886708)",BPHIGH,48453001504,30.346547166700002,-97.7250886708,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001504,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,3925,"(30.3465471667, -97.7250886708)",HIGHCHOL,30.346547166700002,-97.7250886708,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001504,Diagnosed diabetes among adults aged >=18 Years,"3,925","(30.3465471667, -97.7250886708)",DIABETES,30.346547166700002,-97.7250886708,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453001504,Obesity among adults aged >=18 Years,"3,925","(30.3465471667, -97.7250886708)",OBESITY,30.346547166700002,-97.7250886708,4484,2214,50,0,0,37,1,0,12,0,870,0,0,136,174,52,392,116,720,0,0,131,73,30,283,203,420,17,0,39,73,60,155,76,154,7,0,70,0,0,56,21,2270,179,0,0,91,0,0,88,0,528,0,0,0,0,0,478,50,651,0,0,0,129,34,202,286,560,46,7,58,43,65,91,250,352,0,25,66,161,18,53,29,1400000,2349,1.9,5.2,4.6,5.0,6.3,22.8,7.4,23.8,8.3,14.6,87832,119655,1400000,5371,2609,2762,4659,259,43,390,0,269,1400000
49,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002107,High blood pressure among adults aged >=18 Years,3712,"(30.2956745244, -97.6828566374)",BPHIGH,48453002107,30.2956745244,-97.6828566374,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002107,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,3712,"(30.2956745244, -97.6828566374)",HIGHCHOL,30.2956745244,-97.6828566374,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002107,Diagnosed diabetes among adults aged >=18 Years,"3,712","(30.2956745244, -97.6828566374)",DIABETES,30.2956745244,-97.6828566374,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453002107,Obesity among adults aged >=18 Years,"3,712","(30.2956745244, -97.6828566374)",OBESITY,30.2956745244,-97.6828566374,3394,1670,273,10,20,131,92,12,8,0,484,0,38,101,189,0,133,23,357,56,19,146,58,0,40,38,349,21,66,102,71,9,59,21,207,9,0,86,89,0,13,10,1724,158,0,0,60,53,0,45,0,550,43,91,108,51,0,129,128,282,7,38,104,17,0,44,72,526,90,41,145,204,0,32,14,208,33,35,74,18,20,17,11,1400000,1426,7.2,10.2,12.3,10.4,16.3,15.6,10.9,9.2,7.1,0.8,43750,59395,1400000,4538,2160,2378,2858,1274,34,105,0,447,1400000
50,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000307,High blood pressure among adults aged >=18 Years,1707,"(30.2970325018, -97.7125662163)",BPHIGH,48453000307,30.297032501799997,-97.71256621629999,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000307,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1707,"(30.2970325018, -97.7125662163)",HIGHCHOL,30.297032501799997,-97.71256621629999,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000307,Diagnosed diabetes among adults aged >=18 Years,"1,707","(30.2970325018, -97.7125662163)",DIABETES,30.297032501799997,-97.71256621629999,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453000307,Obesity among adults aged >=18 Years,"1,707","(30.2970325018, -97.7125662163)",OBESITY,30.297032501799997,-97.71256621629999,1522,714,43,0,5,20,4,6,8,0,166,0,0,19,34,0,88,25,227,0,6,0,50,21,82,68,215,0,0,9,54,6,89,57,63,6,0,0,5,0,20,32,808,52,0,0,0,23,0,29,0,342,0,0,16,62,6,177,81,146,0,6,11,0,10,74,45,142,0,0,5,0,0,77,60,126,5,0,0,6,26,33,56,1400000,828,5.9,1.8,11.1,3.5,10.4,21.4,9.7,17.8,9.5,8.9,68214,95729,1400000,1786,856,930,1663,96,0,81,0,26,1400000
51,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000603,High blood pressure among adults aged >=18 Years,7793,"(30.2919924148, -97.7462695279)",BPHIGH,48453000603,30.2919924148,-97.74626952790001,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000603,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,7793,"(30.2919924148, -97.7462695279)",HIGHCHOL,30.2919924148,-97.74626952790001,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000603,Diagnosed diabetes among adults aged >=18 Years,"7,793","(30.2919924148, -97.7462695279)",DIABETES,30.2919924148,-97.74626952790001,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453000603,Obesity among adults aged >=18 Years,"7,793","(30.2919924148, -97.7462695279)",OBESITY,30.2919924148,-97.74626952790001,8029,4150,3730,0,5,288,3251,7,179,0,314,0,0,0,52,14,71,177,31,0,0,2,0,0,15,14,52,0,15,0,23,0,14,0,23,0,0,0,0,0,23,0,3879,3389,0,0,343,2823,52,171,0,308,0,0,15,166,0,90,37,137,0,0,0,91,0,46,0,41,0,36,5,0,0,0,0,4,2,0,2,0,0,0,0,1400000,2349,49.9,14.2,14.3,9.3,4.3,3.1,3.6,0.3,1.1,0.0,10035,17551,1400000,8045,4150,3895,5606,738,58,1823,37,155,1400000
52,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001403,High blood pressure among adults aged >=18 Years,1490,"(30.2399175637, -97.7350701079)",BPHIGH,48453001403,30.2399175637,-97.73507010790001,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001403,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,1490,"(30.2399175637, -97.7350701079)",HIGHCHOL,30.2399175637,-97.73507010790001,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001403,Diagnosed diabetes among adults aged >=18 Years,"1,490","(30.2399175637, -97.7350701079)",DIABETES,30.2399175637,-97.73507010790001,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453001403,Obesity among adults aged >=18 Years,"1,490","(30.2399175637, -97.7350701079)",OBESITY,30.2399175637,-97.73507010790001,1471,857,37,0,19,8,7,0,3,0,288,19,0,4,77,60,117,11,195,48,18,21,34,32,25,17,202,22,0,54,63,6,40,17,135,0,58,0,39,0,27,11,614,55,0,5,6,27,0,17,0,245,0,18,4,77,11,104,31,147,6,33,33,8,5,39,23,121,3,0,39,15,6,25,33,46,6,0,6,16,0,7,11,1400000,806,12.3,7.6,6.5,10.5,21.3,15.0,12.9,8.1,3.7,2.1,41860,56214,1400000,1723,1012,711,1464,84,80,64,18,41,1400000
53,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002112,High blood pressure among adults aged >=18 Years,4996,"(30.3139333247, -97.682596712)",BPHIGH,48453002112,30.3139333247,-97.682596712,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002112,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,4996,"(30.3139333247, -97.682596712)",HIGHCHOL,30.3139333247,-97.682596712,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002112,Diagnosed diabetes among adults aged >=18 Years,"4,996","(30.3139333247, -97.682596712)",DIABETES,30.3139333247,-97.682596712,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453002112,Obesity among adults aged >=18 Years,"4,996","(30.3139333247, -97.682596712)",OBESITY,30.3139333247,-97.682596712,3577,1714,159,0,50,52,36,0,21,0,506,133,81,74,60,44,102,12,432,41,62,143,61,0,112,13,508,72,113,185,62,17,49,10,109,21,0,22,33,0,27,6,1863,140,7,44,29,60,0,0,0,640,39,89,175,78,32,181,46,464,67,72,31,75,87,93,39,394,41,62,114,71,0,55,51,225,62,23,46,28,8,52,6,1400000,1800,15.7,8.6,13.9,16.6,11.4,15.6,6.4,4.8,4.4,2.8,31771,55049,1400000,5203,2455,2748,3503,1199,87,97,5,414,1400000
54,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002319,High blood pressure among adults aged >=18 Years,179,"(30.2025405525, -97.6405995997)",BPHIGH,48453002319,30.2025405525,-97.6405995997,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002319,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,179,"(30.2025405525, -97.6405995997)",HIGHCHOL,30.2025405525,-97.6405995997,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002319,Diagnosed diabetes among adults aged >=18 Years,179,"(30.2025405525, -97.6405995997)",DIABETES,30.2025405525,-97.6405995997,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453002319,Obesity among adults aged >=18 Years,179,"(30.2025405525, -97.6405995997)",OBESITY,30.2025405525,-97.6405995997,2142,1776,481,5,325,95,48,0,8,0,512,67,165,180,81,0,15,4,379,35,105,163,54,0,22,0,404,68,82,192,37,0,25,0,0,0,0,0,0,0,0,0,366,116,9,65,17,25,0,0,0,80,4,0,27,49,0,0,0,95,16,14,48,17,0,0,0,71,0,7,49,0,0,15,0,4,0,0,0,4,0,0,0,1400000,0,-,-,-,-,-,-,-,-,-,-,-,-,1400000,2147,1781,366,1305,712,34,10,0,113,1400000
55,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001772,High blood pressure among adults aged >=18 Years,2343,"(30.1510668591, -97.8353659518)",BPHIGH,48453001772,30.1510668591,-97.8353659518,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001772,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,2343,"(30.1510668591, -97.8353659518)",HIGHCHOL,30.1510668591,-97.8353659518,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001772,Diagnosed diabetes among adults aged >=18 Years,"2,343","(30.1510668591, -97.8353659518)",DIABETES,30.1510668591,-97.8353659518,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453001772,Obesity among adults aged >=18 Years,"2,343","(30.1510668591, -97.8353659518)",OBESITY,30.1510668591,-97.8353659518,3466,1780,150,0,21,59,41,17,12,0,432,4,17,62,120,103,103,23,441,31,4,136,131,14,92,33,505,57,0,50,293,0,67,38,252,23,11,105,35,17,61,0,1686,114,0,27,0,73,0,14,0,394,0,4,78,145,6,161,0,449,0,16,108,58,55,96,116,558,0,78,210,141,58,35,36,171,22,23,65,18,0,43,0,1400000,1408,2.2,3.8,5.9,1.8,14.1,15.3,21.4,25.6,7.2,2.7,80565,89017,1400000,4389,2239,2150,3797,118,0,250,0,352,1400000
56,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001829,High blood pressure among adults aged >=18 Years,2443,"(30.4163985388, -97.7128338245)",BPHIGH,48453001829,30.416398538800003,-97.71283382450001,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001829,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,2443,"(30.4163985388, -97.7128338245)",HIGHCHOL,30.416398538800003,-97.71283382450001,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001829,Diagnosed diabetes among adults aged >=18 Years,"2,443","(30.4163985388, -97.7128338245)",DIABETES,30.416398538800003,-97.71283382450001,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453001829,Obesity among adults aged >=18 Years,"2,443","(30.4163985388, -97.7128338245)",OBESITY,30.416398538800003,-97.71283382450001,2102,1126,15,0,0,0,9,0,6,0,386,0,0,58,125,41,124,38,423,0,0,57,130,69,106,61,234,21,0,44,45,42,64,18,68,0,0,9,9,0,44,6,976,80,0,0,3,55,0,18,4,398,0,0,28,47,18,272,33,145,0,20,7,8,8,79,23,240,0,0,75,32,7,119,7,113,0,8,36,32,0,8,29,1400000,1441,4.8,1.5,14.0,4.2,24.6,20.5,12.0,14.5,3.9,0.0,51298,60701,1400000,2428,1342,1086,2069,125,14,285,6,63,1400000
57,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001712,High blood pressure among adults aged >=18 Years,4008,"(30.2238522538, -97.7971960496)",BPHIGH,48453001712,30.2238522538,-97.79719604959999,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001712,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,4008,"(30.2238522538, -97.7971960496)",HIGHCHOL,30.2238522538,-97.79719604959999,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001712,Diagnosed diabetes among adults aged >=18 Years,"4,008","(30.2238522538, -97.7971960496)",DIABETES,30.2238522538,-97.79719604959999,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453001712,Obesity among adults aged >=18 Years,"4,008","(30.2238522538, -97.7971960496)",OBESITY,30.2238522538,-97.79719604959999,3818,1812,103,0,36,20,10,0,37,0,411,75,0,64,115,0,148,9,485,18,66,91,51,45,175,39,516,0,0,75,147,58,169,67,297,0,20,53,106,10,70,38,2006,96,0,15,16,65,0,0,0,387,13,67,67,87,20,126,7,412,107,7,34,20,0,136,108,602,0,22,72,191,60,138,119,509,8,38,134,118,0,104,107,1400000,1998,3.1,4.6,8.2,9.6,13.9,27.5,10.1,16.5,0.8,5.8,59688,73187,1400000,4945,2273,2672,4509,321,58,59,29,74,1400000
58,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001783,High blood pressure among adults aged >=18 Years,421,"(30.344379193, -97.869486999)",BPHIGH,48453001783,30.344379193,-97.869486999,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001783,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,421,"(30.344379193, -97.869486999)",HIGHCHOL,30.344379193,-97.869486999,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001783,Diagnosed diabetes among adults aged >=18 Years,421,"(30.344379193, -97.869486999)",DIABETES,30.344379193,-97.869486999,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453001783,Obesity among adults aged >=18 Years,421,"(30.344379193, -97.869486999)",OBESITY,30.344379193,-97.869486999,3786,1761,139,0,39,43,51,0,6,0,193,0,0,25,20,0,98,50,387,0,9,0,38,17,264,59,781,0,0,40,161,41,267,272,261,0,0,21,26,0,109,105,2025,78,0,4,5,48,5,16,0,172,0,0,9,34,10,95,24,544,0,0,21,68,11,353,91,967,0,21,93,255,123,272,203,264,0,0,33,39,15,83,94,1400000,1886,1.3,3.6,4.7,5.5,7.4,8.5,7.1,23.8,8.4,29.7,124688,187806,1400000,5406,2666,2740,4998,40,40,454,129,85,1400000
59,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000206,High blood pressure among adults aged >=18 Years,2687,"(30.326153574, -97.7435152927)",BPHIGH,48453000206,30.326153574,-97.74351529270001,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000206,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,2687,"(30.326153574, -97.7435152927)",HIGHCHOL,30.326153574,-97.74351529270001,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000206,Diagnosed diabetes among adults aged >=18 Years,"2,687","(30.326153574, -97.7435152927)",DIABETES,30.326153574,-97.74351529270001,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453000206,Obesity among adults aged >=18 Years,"2,687","(30.326153574, -97.7435152927)",OBESITY,30.326153574,-97.74351529270001,2778,1390,98,0,0,19,58,0,21,0,515,0,0,16,101,14,245,139,291,0,0,76,78,0,69,68,341,11,0,18,33,33,81,165,145,0,10,43,15,0,38,39,1388,104,0,0,21,19,26,38,0,420,0,0,0,33,0,206,181,222,0,0,0,22,6,64,130,400,11,0,33,38,34,163,121,242,0,10,55,11,0,65,101,1400000,1667,4.9,4.6,4.7,2.9,10.0,20.2,11.8,18.3,11.3,11.3,80781,112960,1400000,3292,1615,1677,2938,171,16,181,29,79,1400000
60,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001848,High blood pressure among adults aged >=18 Years,4515,"(30.4180610095, -97.6857056708)",BPHIGH,48453001848,30.418061009499997,-97.6857056708,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001848,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,4515,"(30.4180610095, -97.6857056708)",HIGHCHOL,30.418061009499997,-97.6857056708,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453001848,Diagnosed diabetes among adults aged >=18 Years,"4,515","(30.4180610095, -97.6857056708)",DIABETES,30.418061009499997,-97.6857056708,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453001848,Obesity among adults aged >=18 Years,"4,515","(30.4180610095, -97.6857056708)",OBESITY,30.418061009499997,-97.6857056708,4094,2004,173,0,8,121,44,0,0,0,584,0,55,144,119,0,214,52,348,0,47,80,28,27,134,32,672,0,27,126,205,46,136,132,227,0,60,32,31,0,89,15,2090,93,4,0,0,71,13,5,0,571,0,37,87,33,113,118,183,459,15,37,66,139,8,44,150,673,0,17,133,58,30,409,26,294,25,55,18,89,27,61,19,1400000,2051,3.5,0.8,2.9,6.8,18.6,21.9,17.3,17.2,2.7,8.2,72663,85645,1400000,5031,2396,2635,3382,640,96,1088,0,109,1400000
61,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002207,High blood pressure among adults aged >=18 Years,12,"(30.2474717883, -97.6375197951)",BPHIGH,48453002207,30.2474717883,-97.6375197951,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002207,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,12,"(30.2474717883, -97.6375197951)",HIGHCHOL,30.2474717883,-97.6375197951,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002207,Diagnosed diabetes among adults aged >=18 Years,12,"(30.2474717883, -97.6375197951)",DIABETES,30.2474717883,-97.6375197951,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453002207,Obesity among adults aged >=18 Years,12,"(30.2474717883, -97.6375197951)",OBESITY,30.2474717883,-97.6375197951,6449,3352,339,0,24,94,206,0,15,0,670,87,82,160,245,27,69,0,1157,82,244,407,342,50,0,32,1030,123,127,559,104,0,76,41,156,47,4,72,16,1,16,0,3097,255,52,53,39,103,0,8,0,767,0,79,338,211,10,96,33,820,71,226,151,224,10,86,52,1023,129,116,267,319,44,98,50,232,34,14,74,81,14,15,0,1400000,2903,3.9,2.5,12.2,8.8,14.8,27.0,16.0,9.1,5.6,0.0,59250,63303,1400000,9529,4826,4703,5572,2610,116,73,0,1487,1400000
62,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000901,High blood pressure among adults aged >=18 Years,2027,"(30.2655679932, -97.7237401242)",BPHIGH,48453000901,30.2655679932,-97.7237401242,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000901,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,2027,"(30.2655679932, -97.7237401242)",HIGHCHOL,30.2655679932,-97.7237401242,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453000901,Diagnosed diabetes among adults aged >=18 Years,"2,027","(30.2655679932, -97.7237401242)",DIABETES,30.2655679932,-97.7237401242,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453000901,Obesity among adults aged >=18 Years,"2,027","(30.2655679932, -97.7237401242)",OBESITY,30.2655679932,-97.7237401242,2066,1031,209,0,5,25,120,0,51,8,518,27,15,69,97,0,261,49,130,7,0,0,14,0,46,63,128,0,14,57,11,13,33,0,46,15,0,0,0,0,12,19,1035,273,0,15,1,192,0,65,0,387,0,25,37,39,32,195,59,121,0,22,6,36,0,23,34,160,39,37,29,19,12,6,18,94,48,14,28,0,0,4,0,1400000,946,5.1,7.5,5.1,8.6,7.2,15.6,12.1,21.7,14.0,3.3,77845,86194,1400000,2424,1234,1190,1869,341,29,143,0,111,1400000
63,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002005,High blood pressure among adults aged >=18 Years,4729,"(30.2348343932, -97.7801522706)",BPHIGH,48453002005,30.234834393200003,-97.7801522706,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002005,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,4729,"(30.2348343932, -97.7801522706)",HIGHCHOL,30.234834393200003,-97.7801522706,2017,TX,Texas,Austin,Census Tract,Health Outcomes,4805000-48453002005,Diagnosed diabetes among adults aged >=18 Years,"4,729","(30.2348343932, -97.7801522706)",DIABETES,30.234834393200003,-97.7801522706,2017,TX,Texas,Austin,Census Tract,Unhealthy Behaviors,4805000-48453002005,Obesity among adults aged >=18 Years,"4,729","(30.2348343932, -97.7801522706)",OBESITY,30.234834393200003,-97.7801522706,4331,2208,147,0,0,61,32,0,33,21,900,129,0,64,109,72,448,78,522,60,0,6,87,0,220,149,564,63,0,164,69,58,181,29,75,18,4,29,19,0,0,5,2123,269,0,43,146,41,0,39,0,873,16,117,15,196,86,349,94,397,0,46,0,70,50,116,115,457,81,45,75,24,0,124,108,127,45,3,16,11,35,7,10,1400000,2464,6.8,10.3,6.5,6.5,8.5,21.9,13.6,17.0,2.1,6.8,62095,89411,1400000,5446,2618,2828,4897,171,46,290,0,109,1400000
